Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
1,ScripCode,01-04-2022 To 30-06-2022,,,532532
2,Symbol,01-04-2022 To 30-06-2022,,,JPASSOCIAT
3,ISIN,01-04-2022 To 30-06-2022,,,INE455F01025
4,NameOfTheCompany,01-04-2022 To 30-06-2022,,,JPASSOCIAT
5,ClassOfSecurity,01-04-2022 To 30-06-2022,,,Equity
6,DateOfStartOfFinancialYear,01-04-2022 To 30-06-2022,,,2022-04-01
7,DateOfEndOfFinancialYear,01-04-2022 To 30-06-2022,,,2023-03-31
8,DateOfBoardMeetingWhenFinancialResultsWereApproved,01-04-2022 To 30-06-2022,,,2022-08-10
9,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,01-04-2022 To 30-06-2022,,,2022-08-01
10,DescriptionOfPresentationCurrency,01-04-2022 To 30-06-2022,,,INR
11,LevelOfRoundingUsedInFinancialStatements,01-04-2022 To 30-06-2022,,,Lakhs
12,ReportingQuarter,01-04-2022 To 30-06-2022,,,First quarter
13,IsCompanyReportingMultisegmentOrSingleSegment,01-04-2022 To 30-06-2022,,,Multi segment
14,DateOfStartOfBoardMeeting,01-04-2022 To 30-06-2022,,,2022-08-10
15,StartTimeOfBoardMeeting,01-04-2022 To 30-06-2022,,,17:00:00
16,DateOfEndOfBoardMeeting,01-04-2022 To 30-06-2022,,,2022-08-10
17,EndTimeOfBoardMeeting,01-04-2022 To 30-06-2022,,,20:35:00
18,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,01-04-2022 To 30-06-2022,,,Not applicable
19,DateOfStartOfReportingPeriod,01-04-2022 To 30-06-2022,,,2022-04-01
20,DateOfEndOfReportingPeriod,01-04-2022 To 30-06-2022,,,2022-06-30
21,WhetherResultsAreAuditedOrUnaudited,01-04-2022 To 30-06-2022,,,Unaudited
22,NatureOfReportStandaloneConsolidated,01-04-2022 To 30-06-2022,,,Consolidated
23,RevenueFromOperations,01-04-2022 To 30-06-2022,OneD,-5.0,18397600000
24,OtherIncome,01-04-2022 To 30-06-2022,OneD,-5.0,420000000
25,Income,01-04-2022 To 30-06-2022,OneD,-5.0,18817600000
26,CostOfMaterialsConsumed,01-04-2022 To 30-06-2022,OneD,-5.0,10254100000
27,PurchasesOfStockInTrade,01-04-2022 To 30-06-2022,OneD,-5.0,151900000
28,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-04-2022 To 30-06-2022,OneD,-5.0,-308700000
29,EmployeeBenefitExpense,01-04-2022 To 30-06-2022,OneD,-5.0,1423700000
30,FinanceCosts,01-04-2022 To 30-06-2022,OneD,-5.0,2979100000
31,DepreciationDepletionAndAmortisationExpense,01-04-2022 To 30-06-2022,OneD,-5.0,1416900000
32,OtherExpenses,01-04-2022 To 30-06-2022,OneD,-5.0,7027800000
33,Expenses,01-04-2022 To 30-06-2022,OneD,-5.0,22944800000
34,ProfitBeforeExceptionalItemsAndTax,01-04-2022 To 30-06-2022,OneD,-5.0,-4127200000
35,ExceptionalItemsBeforeTax,01-04-2022 To 30-06-2022,OneD,-5.0,0
36,ProfitBeforeTax,01-04-2022 To 30-06-2022,OneD,-5.0,-4127200000
37,CurrentTax,01-04-2022 To 30-06-2022,OneD,-5.0,19500000
38,DeferredTax,01-04-2022 To 30-06-2022,OneD,-5.0,238900000
39,TaxExpense,01-04-2022 To 30-06-2022,OneD,-5.0,258400000
