Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
1,ScripCode,01-10-2022 To 31-12-2022,,,532532
2,Symbol,01-10-2022 To 31-12-2022,,,JPASSOCIAT
3,MSEISymbol,01-10-2022 To 31-12-2022,,,
4,NameOfTheCompany,01-10-2022 To 31-12-2022,,,Jaiprakash Associates Limited
5,ClassOfSecurity,01-10-2022 To 31-12-2022,,,Equity
6,DateOfStartOfFinancialYear,01-10-2022 To 31-12-2022,,,2022-04-01
7,DateOfEndOfFinancialYear,01-10-2022 To 31-12-2022,,,2023-03-31
8,DateOfBoardMeetingWhenFinancialResultsWereApproved,01-10-2022 To 31-12-2022,,,2023-02-14
9,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,01-10-2022 To 31-12-2022,,,2023-02-06
10,DescriptionOfPresentationCurrency,01-10-2022 To 31-12-2022,,,INR
11,LevelOfRoundingUsedInFinancialStatements,01-10-2022 To 31-12-2022,,,Lakhs
12,ReportingQuarter,01-10-2022 To 31-12-2022,,,Third quarter
13,StartTimeOfBoardMeeting,01-10-2022 To 31-12-2022,,,12:00:00
14,EndTimeOfBoardMeeting,01-10-2022 To 31-12-2022,,,15:25:00
15,DateOfStartOfBoardMeeting,01-10-2022 To 31-12-2022,,,2023-02-14
16,DateOfEndOfBoardMeeting,01-10-2022 To 31-12-2022,,,2023-02-14
17,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,01-10-2022 To 31-12-2022,,,Not applicable
18,IsCompanyReportingMultisegmentOrSingleSegment,01-10-2022 To 31-12-2022,,,Multi segment
19,DateOfStartOfReportingPeriod,01-10-2022 To 31-12-2022,,,2022-10-01
20,DateOfEndOfReportingPeriod,01-10-2022 To 31-12-2022,,,2022-12-31
21,WhetherResultsAreAuditedOrUnaudited,01-10-2022 To 31-12-2022,,,Unaudited
22,NatureOfReportStandaloneConsolidated,01-10-2022 To 31-12-2022,,,Consolidated
23,RevenueFromOperations,01-10-2022 To 31-12-2022,OneD,-5.0,18961800000.00
24,OtherIncome,01-10-2022 To 31-12-2022,OneD,-5.0,695500000.00
25,Income,01-10-2022 To 31-12-2022,OneD,-5.0,19657300000.00
26,CostOfMaterialsConsumed,01-10-2022 To 31-12-2022,OneD,-5.0,9286600000.00
27,PurchasesOfStockInTrade,01-10-2022 To 31-12-2022,OneD,-5.0,450000000.00
28,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-10-2022 To 31-12-2022,OneD,-5.0,150000000.00
29,EmployeeBenefitExpense,01-10-2022 To 31-12-2022,OneD,-5.0,1347500000.00
30,FinanceCosts,01-10-2022 To 31-12-2022,OneD,-5.0,2995600000.00
31,DepreciationDepletionAndAmortisationExpense,01-10-2022 To 31-12-2022,OneD,-5.0,1430000000.00
32,OtherExpenses,01-10-2022 To 31-12-2022,OneD,-5.0,6466900000.00
33,Expenses,01-10-2022 To 31-12-2022,OneD,-5.0,22126600000.00
34,ProfitBeforeExceptionalItemsAndTax,01-10-2022 To 31-12-2022,OneD,-5.0,-2469300000.00
35,ExceptionalItemsBeforeTax,01-10-2022 To 31-12-2022,OneD,-5.0,0.00
36,ProfitBeforeTax,01-10-2022 To 31-12-2022,OneD,-5.0,-2469300000.00
37,CurrentTax,01-10-2022 To 31-12-2022,OneD,-5.0,112500000.00
38,DeferredTax,01-10-2022 To 31-12-2022,OneD,-5.0,40100000.00
39,TaxExpense,01-10-2022 To 31-12-2022,OneD,-5.0,152600000.00
40,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-10-2022 To 31-12-2022,OneD,-5.0,0.00
41,ProfitLossForPeriodFromContinuingOperations,01-10-2022 To 31-12-2022,OneD,-5.0,-2621900000.00
42,ProfitLossFromDiscontinuedOperationsBeforeTax,01-10-2022 To 31-12-2022,OneD,-5.0,0.00
43,TaxExpenseOfDiscontinuedOperations,01-10-2022 To 31-12-2022,OneD,-5.0,0.00
44,ProfitLossFromDiscontinuedOperationsAfterTax,01-10-2022 To 31-12-2022,OneD,-5.0,0.00
45,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,01-10-2022 To 31-12-2022,OneD,-5.0,-523200000.00
46,ProfitLossForPeriod,01-10-2022 To 31-12-2022,OneD,-5.0,-3145100000.00
47,OtherComprehensiveIncomeNetOfTaxes,01-10-2022 To 31-12-2022,OneD,-5.0,4400000.00
48,ComprehensiveIncomeForThePeriod,01-10-2022 To 31-12-2022,OneD,-5.0,-3140700000.00
49,ProfitOrLossAttributableToOwnersOfParent,01-10-2022 To 31-12-2022,OneD,-5.0,-3092800000.00
50,ProfitOrLossAttributableToNonControllingInterests,01-10-2022 To 31-12-2022,OneD,-5.0,-52300000.00
51,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,01-10-2022 To 31-12-2022,OneD,-5.0,3200000.00
52,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,01-10-2022 To 31-12-2022,OneD,-5.0,1200000.00
53,PaidUpValueOfEquityShareCapital,01-10-2022 To 31-12-2022,OneD,-5.0,4909200000.00
54,FaceValueOfEquityShareCapital,01-10-2022 To 31-12-2022,OneD,,2
55,BasicEarningsLossPerShareFromContinuingOperations,01-10-2022 To 31-12-2022,OneD,,-1.26
56,DilutedEarningsLossPerShareFromContinuingOperations,01-10-2022 To 31-12-2022,OneD,,-1.26
